Feature,Importance
Tenure,0.26922004011145545
CashbackAmount,0.08714128849280314
Complain,0.06980932380469032
DaySinceLastOrder,0.05976720748171511
WarehouseToHome,0.05787035486433642
NumberOfAddress,0.04733774655707499
OrderAmountHikeFromlastYear,0.043366471927958436
SatisfactionScore,0.04148355046382751
NumberOfDeviceRegistered,0.02822653138272638
OrderCount,0.027363265802177912
MaritalStatus_Single,0.025057415421778095
CityTier,0.024034079964046225
CouponUsed,0.02217519860049396
PreferedOrderCat_Laptop & Accessory,0.02028481411241303
MaritalStatus_Married,0.017367504968434994
HourSpendOnApp,0.013179623397722627
PreferredPaymentMode_Credit Card,0.01209553434519068
PreferedOrderCat_Mobile Phone,0.011712305769901985
PreferredPaymentMode_Debit Card,0.011653693694201257
Gender_Female,0.011252243939625272
PreferredLoginDevice_Mobile Phone,0.011183978958367848
Gender_Male,0.010571337133544089
PreferedOrderCat_Mobile,0.010201122489826853
PreferredLoginDevice_Computer,0.010164322086995201
PreferedOrderCat_Fashion,0.008481583768004538
PreferredPaymentMode_E wallet,0.008245156205376112
PreferedOrderCat_Grocery,0.007392419451059807
PreferredPaymentMode_COD,0.007023358067063275
PreferredLoginDevice_Phone,0.006243594192814753
PreferredPaymentMode_UPI,0.00593014157003377
MaritalStatus_Divorced,0.0046010686918089095
PreferredPaymentMode_CC,0.003275135211717217
PreferedOrderCat_Others,0.003190454964676364
PreferredPaymentMode_Cash on Delivery,0.003098132106137567
