iter	Logloss
0	0.6652594377
1	0.637222226
2	0.6203538786
3	0.6000041603
4	0.5859906725
5	0.5696723946
6	0.5546047148
7	0.5426172113
8	0.5329716304
9	0.5264887239
10	0.5191734394
11	0.5052605488
12	0.4952307611
13	0.4914697129
14	0.4848042035
15	0.4736957093
16	0.4660605525
17	0.4582453297
18	0.4525622757
19	0.445873904
20	0.4388100155
21	0.4335208306
22	0.4259671477
23	0.422056489
24	0.416269867
25	0.4115902371
26	0.4075775079
27	0.4048532896
28	0.4013464121
29	0.3979196617
30	0.3935463244
31	0.3905246384
32	0.3858288197
33	0.382932578
34	0.3798983593
35	0.3741451809
36	0.3713758698
37	0.369242621
38	0.3677106067
39	0.3643187217
40	0.3618337759
41	0.3592262772
42	0.3574785615
43	0.3551898003
44	0.3517356599
45	0.3491838382
46	0.3468509541
47	0.3458741329
48	0.3437903819
49	0.3405584422
50	0.3385383905
51	0.3369616767
52	0.3353299177
53	0.3339180231
54	0.3327817813
55	0.330590363
56	0.3278374399
57	0.3264152432
58	0.3240710442
59	0.3222635552
60	0.3204900735
61	0.3188441684
62	0.317099458
63	0.3158837804
64	0.3132748466
65	0.3121410219
66	0.3106307183
67	0.3097663983
68	0.3084061453
69	0.3071677632
70	0.3059278433
71	0.3047283487
72	0.302932857
73	0.3009777843
74	0.2997756518
75	0.2986520411
76	0.2985762922
77	0.2977146064
78	0.2950092751
79	0.2930089807
80	0.2912817024
81	0.28982887
82	0.2895176604
83	0.2884798238
84	0.2878118169
85	0.2860614773
86	0.2848230683
87	0.2829604507
88	0.2827401423
89	0.2821218067
90	0.2820281724
91	0.2817076267
92	0.2798905073
93	0.2784688759
94	0.2768101541
95	0.2753015388
96	0.2740851557
97	0.2740728266
98	0.2720901136
99	0.2711676846
100	0.2706172215
101	0.2691958836
102	0.2678420588
103	0.267624513
104	0.2654590436
105	0.2646812697
106	0.2633323789
107	0.2606819847
108	0.2592026975
109	0.25743489
110	0.2569193761
111	0.2561748819
112	0.255180024
113	0.2544900956
114	0.2531390207
115	0.251509339
116	0.2500427407
117	0.248874789
118	0.2479691897
119	0.2465765937
120	0.245866318
121	0.2453156752
122	0.2444068649
123	0.2431994196
124	0.2419275777
125	0.2411661831
126	0.2409841226
127	0.2404818428
128	0.2393122919
129	0.2387356988
130	0.2377397248
131	0.2372685248
132	0.2364560665
133	0.2360043779
134	0.2344168533
135	0.2327464948
136	0.2315912168
137	0.2308161632
138	0.2301072099
139	0.2299984163
140	0.2289704779
141	0.2287447496
142	0.2281522612
143	0.2268345794
144	0.2255263441
145	0.2249341108
146	0.2247285407
147	0.224500087
148	0.2241735335
149	0.2230765738
150	0.2226451226
151	0.2218890302
152	0.2203339307
153	0.2201045474
154	0.2197458155
155	0.219304866
156	0.2187140998
157	0.2180474657
158	0.2172805612
159	0.2172201031
160	0.2170619133
161	0.2159551185
162	0.2155299741
163	0.215309644
164	0.2150240118
165	0.2136733978
166	0.2126931098
167	0.2121433955
168	0.2114483183
169	0.2105050554
170	0.2093711792
171	0.2086705785
172	0.2076034722
173	0.2071124157
174	0.2060147081
175	0.2050554278
176	0.2038095518
177	0.2025373852
178	0.2017069063
179	0.200650951
180	0.199764288
181	0.1992108992
182	0.1985118225
183	0.1975399502
184	0.1961057421
185	0.1958693302
186	0.1946056813
187	0.1936088469
188	0.192523704
189	0.1911657548
190	0.1906560512
191	0.1890952419
192	0.1880482719
193	0.1867082613
194	0.1859415254
195	0.1846412103
196	0.1835564698
197	0.1828720532
198	0.1822888484
199	0.1817161968
200	0.1806051866
201	0.1799860103
202	0.1791766242
203	0.1786313411
204	0.1777932792
205	0.1773575995
206	0.1766783771
207	0.1760401201
208	0.1751552575
209	0.1745070078
210	0.1727118307
211	0.1714093091
212	0.1712643838
213	0.1701544544
214	0.1694954138
215	0.1687657119
216	0.1683840251
217	0.1681665389
218	0.1668904797
219	0.1664338877
220	0.1659750624
221	0.1656334482
222	0.1648898891
223	0.1637586375
224	0.162727634
225	0.1618039203
226	0.1610184825
227	0.1601082392
228	0.1599543589
229	0.1598029809
230	0.1593489402
231	0.1583019165
232	0.1580557425
233	0.1571800201
234	0.1567541817
235	0.156296999
236	0.1555885726
237	0.1547515985
238	0.1546198737
239	0.1544757476
240	0.1540373054
241	0.1533735746
242	0.1523970318
243	0.1517156859
244	0.1511861452
245	0.1505038673
246	0.1498226342
247	0.149602082
248	0.1494262166
249	0.1486496076
250	0.1482022007
251	0.1475141201
252	0.1466591864
253	0.1457397446
254	0.1448647042
255	0.1445467447
256	0.1439012684
257	0.1436520293
258	0.1431341409
259	0.1425315317
260	0.142050594
261	0.1412168565
262	0.1406680474
263	0.1397565407
264	0.1391301293
265	0.1384876755
266	0.13801584
267	0.1375936263
268	0.137000431
269	0.1365059442
270	0.1359331346
271	0.1353209328
272	0.1350141887
273	0.1345412763
274	0.1341135337
275	0.1340053749
276	0.1334838294
277	0.1330507619
278	0.1325202871
279	0.1321776264
280	0.1316526332
281	0.1310317429
282	0.1307258388
283	0.1300033447
284	0.1294371022
285	0.1292814037
286	0.1288049962
287	0.1283904166
288	0.1282618594
289	0.127607559
290	0.1270995883
291	0.1267720789
292	0.12616909
293	0.1254109784
294	0.1251299903
295	0.1244843793
296	0.1240527198
297	0.123680868
298	0.1225757831
299	0.122206918
300	0.1216183639
301	0.1210761761
302	0.1208430529
303	0.1203195608
304	0.1200279988
305	0.119890514
306	0.1188187353
307	0.118396793
308	0.1179083647
309	0.1174435561
310	0.1169451126
311	0.1166830158
312	0.1161910381
313	0.1157970817
314	0.1155543277
315	0.1150837342
316	0.1142770988
317	0.1141604473
318	0.1135494832
319	0.1133830226
320	0.1130552406
321	0.1128597674
322	0.1123198184
323	0.112166038
324	0.1117589082
325	0.1113394175
326	0.1108611122
327	0.1106667005
328	0.11048636
329	0.1100165882
330	0.109800558
331	0.1096401016
332	0.1094061766
333	0.1089935822
334	0.1086876049
335	0.1083359777
336	0.1079414326
337	0.1075064048
338	0.1071573005
339	0.1067137281
340	0.1063924416
341	0.1062900475
342	0.1058929855
343	0.1055672607
344	0.1053513373
345	0.1052660136
346	0.1048672262
347	0.1045047218
348	0.1042775218
349	0.10392464
350	0.1037035294
351	0.1034397839
352	0.102993411
353	0.1026793522
354	0.1025029507
355	0.1017609208
356	0.1015248432
357	0.1011925354
358	0.1009309475
359	0.1006584985
360	0.1002563296
361	0.09998088662
362	0.09917029826
363	0.09874273891
364	0.09837954824
365	0.09806597668
366	0.09773586941
367	0.09748478814
