iter	Passed	Remaining
0	181	90364
1	224	55795
2	258	42829
3	301	37445
4	348	34533
5	395	32586
6	445	31343
7	490	30182
8	538	29358
9	585	28675
10	627	27901
11	657	26736
12	700	26258
13	744	25856
14	787	25457
15	802	24271
16	846	24061
17	884	23673
18	927	23484
19	971	23313
20	987	22530
21	1034	22478
22	1079	22396
23	1122	22260
24	1166	22161
25	1211	22094
26	1256	22018
27	1302	21962
28	1348	21902
29	1395	21859
30	1440	21793
31	1485	21728
32	1534	21713
33	1579	21651
34	1625	21593
35	1670	21536
36	1714	21458
37	1744	21210
38	1781	21055
39	1825	20994
40	1870	20938
41	1916	20896
42	1960	20840
43	2005	20780
44	2049	20721
45	2093	20666
46	2138	20611
47	2154	20290
48	2198	20236
49	2242	20179
50	2285	20125
51	2331	20091
52	2378	20059
53	2422	20005
54	2466	19952
55	2510	19904
56	2554	19850
57	2597	19798
58	2641	19745
59	2686	19698
60	2730	19647
61	2773	19595
62	2789	19352
63	2833	19304
64	2880	19277
65	2924	19230
66	2967	19177
67	3010	19127
68	3054	19082
69	3097	19028
70	3113	18815
71	3157	18770
72	3201	18729
73	3245	18685
74	3290	18646
75	3334	18600
76	3377	18556
77	3424	18527
78	3467	18479
79	3513	18446
80	3556	18399
81	3572	18212
82	3615	18164
83	3660	18125
84	3704	18085
85	3747	18041
86	3792	18001
87	3834	17952
88	3880	17921
89	3924	17880
90	3967	17830
91	4010	17787
92	4054	17741
93	4097	17696
94	4139	17646
95	4183	17606
96	4228	17566
97	4272	17524
98	4318	17492
99	4363	17454
100	4386	17326
101	4430	17287
102	4475	17248
103	4521	17217
104	4567	17184
105	4615	17156
106	4662	17126
107	4711	17101
108	4758	17070
109	4806	17042
110	4855	17016
111	4904	16989
112	4951	16959
113	4996	16917
114	5040	16873
115	5083	16828
116	5128	16788
117	5144	16654
118	5188	16611
119	5232	16569
120	5275	16524
121	5319	16480
122	5362	16435
123	5406	16393
124	5450	16352
125	5495	16310
126	5537	16264
127	5581	16221
128	5625	16178
129	5648	16076
130	5691	16032
131	5735	15989
132	5778	15946
133	5822	15904
134	5867	15864
135	5906	15808
136	5935	15727
137	5980	15687
138	6022	15641
139	6072	15615
140	6132	15612
141	6190	15608
142	6240	15579
143	6286	15540
144	6332	15502
145	6378	15464
146	6401	15372
147	6446	15332
148	6493	15296
149	6537	15253
150	6586	15224
151	6630	15179
152	6677	15143
153	6721	15100
154	6765	15059
155	6809	15015
156	6855	14976
157	6900	14936
158	6944	14892
159	6989	14852
160	7033	14809
161	7077	14766
162	7121	14723
163	7164	14678
164	7212	14643
165	7255	14598
166	7299	14554
167	7343	14512
168	7386	14466
169	7431	14426
170	7476	14384
171	7525	14350
172	7573	14314
173	7620	14277
174	7668	14241
175	7717	14207
176	7764	14169
177	7810	14128
178	7854	14086
179	7902	14049
180	7946	14005
181	7997	13972
182	8046	13938
183	8096	13905
184	8143	13866
185	8187	13821
186	8228	13772
187	8271	13726
188	8315	13682
189	8361	13641
190	8405	13598
191	8450	13555
192	8495	13514
193	8540	13471
194	8585	13428
195	8630	13385
196	8673	13340
197	8716	13295
198	8760	13251
199	8804	13206
200	8851	13166
201	8893	13119
202	8937	13076
203	8981	13031
204	9025	12988
205	9069	12943
206	9113	12899
207	9156	12854
208	9200	12810
209	9244	12766
210	9288	12722
211	9331	12676
212	9374	12631
213	9419	12588
214	9464	12546
215	9517	12513
216	9560	12468
217	9602	12421
218	9647	12379
219	9690	12333
220	9734	12289
221	9778	12245
222	9823	12202
223	9869	12161
224	9913	12117
225	9957	12072
226	10000	12027
227	10046	11985
228	10089	11939
229	10133	11895
230	10176	11851
231	10221	11807
232	10266	11764
233	10309	11719
234	10353	11675
235	10398	11631
236	10441	11587
237	10487	11545
238	10531	11500
239	10575	11456
240	10621	11414
241	10668	11374
242	10714	11331
243	10759	11288
244	10805	11246
245	10851	11204
246	10895	11160
247	10940	11117
248	10984	11072
249	11027	11027
250	11071	10983
251	11114	10938
252	11157	10892
253	11199	10846
254	11241	10800
255	11284	10755
256	11328	10711
257	11373	10668
258	11419	10626
259	11464	10582
260	11509	10539
261	11553	10495
262	11599	10452
263	11642	10408
264	11685	10362
265	11728	10317
266	11772	10272
267	11817	10229
268	11862	10186
269	11906	10142
270	11951	10099
271	11998	10057
272	12041	10012
273	12085	9968
274	12128	9923
275	12173	9879
276	12218	9836
277	12262	9792
278	12306	9747
279	12350	9703
280	12394	9659
281	12438	9615
282	12485	9573
283	12534	9533
284	12582	9491
285	12629	9449
286	12676	9408
287	12724	9366
288	12772	9325
289	12820	9284
290	12869	9243
291	12918	9201
292	12966	9160
293	13014	9119
294	13059	9075
295	13103	9031
296	13147	8986
297	13191	8942
298	13235	8897
299	13279	8852
300	13322	8807
301	13367	8763
302	13411	8719
303	13455	8675
304	13501	8631
305	13545	8587
306	13590	8543
307	13633	8498
308	13677	8454
309	13720	8409
310	13763	8364
311	13807	8319
312	13852	8275
313	13896	8231
314	13939	8186
315	13984	8142
316	14027	8098
317	14071	8053
318	14114	8008
319	14157	7963
320	14201	7919
321	14245	7875
322	14289	7830
323	14333	7785
324	14378	7742
325	14421	7697
326	14465	7652
327	14511	7609
328	14554	7564
329	14597	7520
330	14641	7475
331	14684	7430
332	14726	7385
333	14770	7341
334	14811	7295
335	14856	7251
336	14901	7207
337	14945	7163
338	14987	7118
339	15031	7073
340	15075	7029
341	15120	6985
342	15164	6941
343	15209	6897
344	15252	6852
345	15296	6808
346	15339	6763
347	15383	6719
348	15427	6675
349	15471	6630
350	15516	6586
351	15560	6542
352	15604	6498
353	15647	6453
354	15692	6409
355	15735	6364
356	15779	6320
357	15823	6276
358	15869	6232
359	15912	6188
360	15955	6143
361	16000	6099
362	16043	6055
363	16088	6011
364	16133	5967
365	16174	5921
366	16218	5877
367	16261	5833
368	16305	5788
369	16348	5744
370	16392	5699
371	16437	5656
372	16485	5612
373	16531	5569
374	16577	5525
375	16625	5482
376	16672	5439
377	16719	5396
378	16770	5354
379	16825	5313
380	16874	5270
381	16925	5228
382	16977	5186
383	17029	5144
384	17078	5101
385	17126	5058
386	17178	5015
387	17227	4972
388	17276	4929
389	17325	4886
390	17374	4843
391	17425	4800
392	17475	4757
393	17527	4715
394	17580	4673
395	17645	4634
396	17700	4592
397	17765	4553
398	17833	4514
399	17897	4474
400	17961	4434
401	18033	4396
402	18083	4352
403	18139	4310
404	18219	4273
405	18271	4230
406	18321	4186
407	18368	4141
408	18414	4097
409	18460	4052
410	18506	4007
411	18554	3963
412	18602	3918
413	18650	3874
414	18699	3830
415	18749	3786
416	18802	3742
417	18859	3699
418	18906	3654
419	18954	3610
420	19003	3565
421	19056	3522
422	19102	3477
423	19154	3433
424	19207	3389
425	19260	3345
426	19314	3302
427	19415	3266
428	19485	3224
429	19535	3180
430	19584	3135
431	19633	3090
432	19683	3045
433	19731	3000
434	19781	2955
435	19832	2911
436	19883	2866
437	19932	2821
438	19982	2776
439	20033	2731
440	20080	2686
441	20127	2641
442	20173	2595
443	20220	2550
444	20266	2504
445	20312	2459
446	20359	2414
447	20411	2369
448	20459	2323
449	20507	2278
450	20554	2233
451	20601	2187
452	20650	2142
453	20698	2097
454	20744	2051
455	20793	2006
456	20842	1961
457	20892	1915
458	20940	1870
459	20990	1825
460	21038	1779
461	21084	1734
462	21127	1688
463	21172	1642
464	21214	1596
465	21258	1551
466	21302	1505
467	21351	1459
468	21426	1416
469	21510	1373
470	21572	1328
471	21622	1282
472	21670	1237
473	21717	1191
474	21764	1145
475	21810	1099
476	21865	1054
477	21912	1008
478	21959	962
479	22005	916
480	22050	871
481	22095	825
482	22140	779
483	22185	733
484	22230	687
485	22275	641
486	22323	595
487	22372	550
488	22435	504
489	22494	459
490	22548	413
491	22598	367
492	22648	321
493	22695	275
494	22744	229
495	22791	183
496	22839	137
497	22886	91
498	22934	45
499	22983	0
