Feature,Importance
Age,203
avg_unit_price,192
avg_pages_viewed,192
avg_session_duration,169
max_order_value,167
std_session_duration,157
avg_delivery_days,157
total_spend,154
order_span_days,148
avg_quantity,142
max_gap_days,141
avg_discount,135
avg_order_value,133
min_gap_days,129
avg_rating,129
total_discount,117
avg_gap_days,116
first_order_month,103
City,95
std_order_value,89
most_common_dow,87
discount_usage_rate,82
favorite_category,71
min_rating,47
n_orders,42
favorite_device,30
Gender,28
favorite_payment,23
n_unique_categories,18
