Feature,Coefficient,Abs_Coefficient
num__Amount_Per_Item,0.41036910651673286,0.41036910651673286
num__Unit_Price,-0.3041107135666668,0.3041107135666668
cat__City_Bursa,0.2154569269482957,0.2154569269482957
cat__City_Ankara,-0.14095765193527243,0.14095765193527243
num__Month,-0.09089612180048033,0.09089612180048033
num__Discount_Rate,-0.0880180882106139,0.0880180882106139
cat__Device_Type_Mobile,0.0860983025961081,0.0860983025961081
cat__City_Eskisehir,-0.08552237478658424,0.08552237478658424
cat__Product_Category_Food,0.08446112515479716,0.08446112515479716
cat__Payment_Method_Debit Card,0.07198255129070212,0.07198255129070212
cat__Product_Category_Beauty,-0.06625471500258216,0.06625471500258216
num__Total_Amount,-0.06531171197838932,0.06531171197838932
num__Quarter,0.06326832337097033,0.06326832337097033
num__Original_Amount,-0.0614834561511352,0.0614834561511352
cat__Device_Type_Tablet,-0.06073353052347293,0.06073353052347293
num__Discount_Amount,0.05964344831476945,0.05964344831476945
num__Delivery_Time_Days,-0.05787057546506995,0.05787057546506995
cat__City_Adana,-0.057687224482000456,0.057687224482000456
cat__Gender_Other,-0.05306019615849892,0.05306019615849892
cat__City_Gaziantep,0.05223231009639762,0.05223231009639762
cat__Payment_Method_Bank Transfer,-0.051772255329455355,0.051772255329455355
num__Many_Pages_Viewed,0.047076973193492626,0.047076973193492626
num__Has_Discount,0.04669338482578967,0.04669338482578967
cat__City_Kayseri,-0.04639994263575548,0.04639994263575548
num__Long_Session,-0.046394450568397014,0.046394450568397014
cat__Device_Type_Desktop,-0.04551258737090066,0.04551258737090066
num__Fast_Delivery,-0.039948682766339644,0.039948682766339644
cat__City_Antalya,0.036833511577715854,0.036833511577715854
cat__Payment_Method_Credit Card,-0.036445764267201405,0.036445764267201405
num__Pages_Viewed,-0.03635452391283433,0.03635452391283433
num__IsWeekend,-0.036093060222592,0.036093060222592
cat__Product_Category_Electronics,0.03361291069689147,0.03361291069689147
cat__Product_Category_Home & Garden,-0.03074891129659377,0.03074891129659377
cat__Payment_Method_Cash on Delivery,-0.03043037858191249,0.03043037858191249
num__DayOfMonth,-0.03039656317347631,0.03039656317347631
cat__City_Konya,0.02789734112206808,0.02789734112206808
cat__Product_Category_Sports,-0.02773125582193851,0.02773125582193851
num__Age,0.027253308388683624,0.027253308388683624
cat__Payment_Method_Digital Wallet,0.02651803158959823,0.02651803158959823
cat__City_Izmir,-0.024885862471416786,0.024885862471416786
num__Pages_Per_Minute,0.024762451245714915,0.024762451245714915
cat__Gender_Female,0.021648452508778625,0.021648452508778625
num__Quantity,0.021558107969798818,0.021558107969798818
num__Session_Duration_Minutes,0.019781150561256483,0.019781150561256483
cat__Product_Category_Fashion,-0.012231117062074286,0.012231117062074286
num__High_Rating,-0.012109653169908417,0.012109653169908417
cat__Gender_Male,0.01126392835145565,0.01126392835145565
num__Year,0.008259553895833405,0.008259553895833405
cat__Product_Category_Books,-0.004009918459747416,0.004009918459747416
cat__City_Istanbul,0.0028851512682809507,0.0028851512682809507
cat__Product_Category_Toys,0.0027540664929812234,0.0027540664929812234
num__Customer_Rating,-0.0006893983858359247,0.0006893983858359247
num__DayOfWeek,0.0005292500259612718,0.0005292500259612718
