iter	Passed	Remaining
0	182	91127
1	211	52649
2	232	38535
3	264	32841
4	295	29222
5	326	26922
6	357	25186
7	388	23895
8	418	22824
9	447	21948
10	480	21379
11	501	20408
12	535	20061
13	565	19638
14	601	19440
15	612	18515
16	642	18251
17	667	17877
18	701	17746
19	733	17597
20	744	16983
21	774	16835
22	806	16726
23	836	16597
24	868	16492
25	900	16409
26	930	16297
27	960	16191
28	991	16109
29	1024	16049
30	1054	15948
31	1086	15885
32	1135	16075
33	1173	16085
34	1203	15993
35	1235	15927
36	1266	15846
37	1286	15647
38	1312	15512
39	1345	15473
40	1376	15408
41	1406	15333
42	1436	15266
43	1469	15224
44	1499	15162
45	1529	15100
46	1562	15061
47	1574	14830
48	1604	14769
49	1634	14707
50	1667	14680
51	1696	14619
52	1728	14575
53	1757	14516
54	1789	14482
55	1819	14426
56	1849	14377
57	1881	14339
58	1912	14293
59	1944	14256
60	1973	14203
61	2005	14167
62	2016	13989
63	2046	13940
64	2077	13901
65	2109	13874
66	2140	13834
67	2170	13791
68	2200	13747
69	2231	13707
70	2242	13552
71	2273	13512
72	2305	13486
73	2341	13477
74	2376	13466
75	2409	13441
76	2443	13422
77	2478	13411
78	2515	13406
79	2552	13403
80	2587	13382
81	2599	13252
82	2632	13224
83	2667	13209
84	2702	13194
85	2734	13165
86	2766	13135
87	2797	13097
88	2826	13054
89	2878	13112
90	2916	13106
91	2947	13072
92	2979	13038
93	3009	12998
94	3039	12956
95	3069	12919
96	3101	12886
97	3132	12850
98	3163	12815
99	3196	12784
100	3211	12688
101	3241	12646
102	3271	12610
103	3303	12578
104	3333	12540
105	3365	12507
106	3394	12468
107	3426	12436
108	3456	12398
109	3487	12363
110	3519	12334
111	3550	12301
112	3580	12262
113	3610	12225
114	3642	12196
115	3672	12158
116	3703	12123
117	3715	12027
118	3747	11997
119	3789	12000
120	3819	11962
121	3851	11931
122	3880	11893
123	3911	11859
124	3940	11821
125	3973	11794
126	4003	11758
127	4033	11723
128	4064	11689
129	4080	11614
130	4109	11575
131	4139	11539
132	4173	11515
133	4204	11483
134	4234	11447
135	4258	11398
136	4278	11337
137	4311	11309
138	4340	11273
139	4372	11243
140	4403	11211
141	4433	11176
142	4463	11142
143	4492	11107
144	4523	11075
145	4553	11041
146	4569	10973
147	4599	10938
148	4631	10911
149	4661	10876
150	4691	10843
151	4723	10815
152	4754	10782
153	4784	10748
154	4813	10713
155	4845	10684
156	4875	10651
157	4905	10617
158	4935	10584
159	4967	10555
160	4997	10523
161	5027	10489
162	5058	10458
163	5088	10424
164	5118	10392
165	5148	10358
166	5179	10328
167	5209	10295
168	5238	10260
169	5271	10232
170	5301	10200
171	5331	10166
172	5362	10135
173	5393	10105
174	5423	10072
175	5453	10039
176	5487	10013
177	5518	9983
178	5548	9950
179	5578	9917
180	5610	9888
181	5641	9856
182	5671	9823
183	5702	9793
184	5732	9761
185	5762	9728
186	5792	9695
